taxonomic_group,count_2025,note
Vertebrate species,223,"Registered in the areas (Portugal in numbers infographic, p. 9) - aggregate count only, not broken down by species in the report"
Fungi species,110,"Registered in the areas (Portugal in numbers infographic, p. 9) - aggregate count only, not broken down by species in the report"
Plant species,376,"Registered in the areas (Portugal in numbers infographic, p. 9) - aggregate count only, not broken down by species in the report"
Invertebrates,680,"Recorded in the areas (Portugal in numbers infographic, p. 9) - aggregate count only, not broken down by species in the report"
